"Ad set name",Age,Gender,"Ad name","Campaign name",Day,"Delivery status","Delivery level","Ad set name","Amount spent (USD)","Result Type","Cost per result","CPM (cost per 1,000 impressions)",Reach,"hook rate","hold rate","Video average play time","CTR (link click-through rate)","Link clicks","CPC (cost per link click)","Adds to cart","Website adds to cart","Cost per add to cart","Checkouts initiated","Website checkouts initiated","Cost per checkout initiated",Purchases,"Website purchases","Cost per purchase","Purchase ROAS (return on ad spend)","Website purchase ROAS (return on advertising spend)",Frequency,"Reporting starts","Reporting ends"
"RLT | Age | Set 2 | Listicle LP Test | Aug 6 – Copy",55-64,female,"Ad 3 - Hook 1","RLB | MAIN | US | Philippians 4:13",2025-08-09,not_delivering,ad,"RLT | Age | Set 2 | Listicle LP Test | Aug 6 – Copy",0.08,,,80,1,0,,3,,,,,,,,,,,,,,,1,2025-08-09,2025-08-09
"RLT | Age | Set 2 | PDP Test | Aug 6",45-54,female,"Ad 4 - Hook 3","RLB | MAIN | US | Philippians 4:13",2025-08-08,not_delivering,ad,"RLT | Age | Set 2 | PDP Test | Aug 6",0.07,,,23.33333333,3,0.33333333,0,3,,,,,,,,,,,,,,,1,2025-08-08,2025-08-08
"RLT | Age | Set 2 | Listicle LP Test | Aug 6 – Copy",55-64,female,"Ad 5 - Hook 1","RLB | MAIN | US | Philippians 4:13",2025-08-08,not_delivering,ad,"RLT | Age | Set 2 | Listicle LP Test | Aug 6 – Copy",0,,,0,1,0,,,,,,,,,,,,,,,,,1,2025-08-08,2025-08-08
"RLT | Age | Set 2 | Listicle LP Test | Aug 6 – Copy",65+,female,"Ad 5 - Hook 1","RLB | MAIN | US | Philippians 4:13",2025-08-08,not_delivering,ad,"RLT | Age | Set 2 | Listicle LP Test | Aug 6 – Copy",1.94,,,242.5,7,0.5,0.25,9,25,2,0.97,,,,,,,,,,,,1.14285714,2025-08-08,2025-08-08
"RLT | Age | Set 2 | Listicle LP Test | Aug 6 – Copy",65+,male,"Ad 5 - Hook 1","RLB | MAIN | US | Philippians 4:13",2025-08-08,not_delivering,ad,"RLT | Age | Set 2 | Listicle LP Test | Aug 6 – Copy",0.11,,,110,1,0,,1,,,,,,,,,,,,,,,1,2025-08-08,2025-08-08
"RLT | Age | Set 2 | Listicle LP Test | Aug 6 – Copy",45-54,female,"Ad 5 - Hook 1","RLB | MAIN | US | Philippians 4:13",2025-08-08,not_delivering,ad,"RLT | Age | Set 2 | Listicle LP Test | Aug 6 – Copy",0.03,,,30,1,0,,1,,,,,,,,,,,,,,,1,2025-08-08,2025-08-08
"RLT | Age | Set 2 | Listicle LP Test | Aug 6 – Copy",65+,female,"Ad 5 - Hook 3","RLB | MAIN | US | Philippians 4:13",2025-08-08,not_delivering,ad,"RLT | Age | Set 2 | Listicle LP Test | Aug 6 – Copy",0.04,,,40,1,1,0,6,,,,,,,,,,,,,,,1,2025-08-08,2025-08-08
"RLT | Age | Set 2 | PDP Test | Aug 6",35-44,female,"Ad 1 - Hook 3","RLB | MAIN | US | Philippians 4:13",2025-08-08,not_delivering,ad,"RLT | Age | Set 2 | PDP Test | Aug 6",0.12,,,60,2,0,,1,,,,,,,,,,,,,,,1,2025-08-08,2025-08-08
"RLT | Age | Set 2 | PDP Test | Aug 6",55-64,female,"Ad 4 - Hook 3","RLB | MAIN | US | Philippians 4:13",2025-08-08,not_delivering,ad,"RLT | Age | Set 2 | PDP Test | Aug 6",0.26,,,37.14285714,6,0.28571429,0,3,,,,,,,,,,,,,,,1.16666667,2025-08-08,2025-08-08
"RLT | Age | Set 2 | PDP Test | Aug 6",55-64,male,"Ad 1 - Hook 3","RLB | MAIN | US | Philippians 4:13",2025-08-08,not_delivering,ad,"RLT | Age | Set 2 | PDP Test | Aug 6",0.01,,,10,1,1,1,81,,,,,,,,,,,,,,,1,2025-08-08,2025-08-08
"RLT | Age | Set 2 | Listicle LP Test | Aug 6 – Copy",65+,female,"Ad 3 - Hook 1","RLB | MAIN | US | Philippians 4:13",2025-08-08,not_delivering,ad,"RLT | Age | Set 2 | Listicle LP Test | Aug 6 – Copy",2.11,,,1055,2,0.5,1,14,,,,,,,,,,,,,,,1,2025-08-08,2025-08-08
"RLT | Age | Set 2 | Listicle LP Test | Aug 6 – Copy",65+,female,"Ad 4 - Hook 2","RLB | MAIN | US | Philippians 4:13",2025-08-08,not_delivering,ad,"RLT | Age | Set 2 | Listicle LP Test | Aug 6 – Copy",0.04,,,40,1,1,0,7,,,,,,,,,,,,,,,1,2025-08-08,2025-08-08
"RLT | Age | Set 2 | PDP Test | Aug 6",65+,female,"Ad 2 - Hook 3","RLB | MAIN | US | Philippians 4:13",2025-08-08,not_delivering,ad,"RLT | Age | Set 2 | PDP Test | Aug 6",0.21,,,70,3,0.33333333,0,4,,,,,,,,,,,,,,,1,2025-08-08,2025-08-08
"RLT | Age | Set 2 | Listicle LP Test | Aug 6 – Copy",65+,female,"Ad 2 - Hook 2","RLB | MAIN | US | Philippians 4:13",2025-08-08,not_delivering,ad,"RLT | Age | Set 2 | Listicle LP Test | Aug 6 – Copy",0.18,,,90,2,0,,2,,,,,,,,,,,,,,,1,2025-08-08,2025-08-08
"RLT | Age | Set 2 | PDP Test | Aug 6",65+,female,"Ad 5 - Hook 1","RLB | MAIN | US | Philippians 4:13",2025-08-08,not_delivering,ad,"RLT | Age | Set 2 | PDP Test | Aug 6",0.13,,,130,1,0,,2,,,,,,,,,,,,,,,1,2025-08-08,2025-08-08
"RLT | Age | Set 2 | Listicle LP Test | Aug 6 – Copy",35-44,female,"Ad 4 - Hook 1","RLB | MAIN | US | Philippians 4:13",2025-08-08,not_delivering,ad,"RLT | Age | Set 2 | Listicle LP Test | Aug 6 – Copy",0.02,,,20,1,0,,1,,,,,,,,,,,,,,,1,2025-08-08,2025-08-08
"RLT | Age | Set 2 | Listicle LP Test | Aug 6 – Copy",35-44,female,"Ad 3 - Hook 1","RLB | MAIN | US | Philippians 4:13",2025-08-08,not_delivering,ad,"RLT | Age | Set 2 | Listicle LP Test | Aug 6 – Copy",0,,,0,1,0,,,,,,,,,,,,,,,,,1,2025-08-08,2025-08-08
"RLT | Age | Set 2 | Listicle LP Test | Aug 6 – Copy",65+,female,"Ad 4 - Hook 1","RLB | MAIN | US | Philippians 4:13",2025-08-08,not_delivering,ad,"RLT | Age | Set 2 | Listicle LP Test | Aug 6 – Copy",0.14,,,70,2,0.5,0,12,50,1,0.14,,,,,,,,,,,,1,2025-08-08,2025-08-08
"RLT | Age | Set 2 | Listicle LP Test | Aug 6 – Copy",55-64,female,"Ad 3 - Hook 1","RLB | MAIN | US | Philippians 4:13",2025-08-08,not_delivering,ad,"RLT | Age | Set 2 | Listicle LP Test | Aug 6 – Copy",0.41,,,410,1,0,,1,,,,,,,,,,,,,,,1,2025-08-08,2025-08-08
"RLT | Age | Set 2 | Listicle LP Test | Aug 6 – Copy",55-64,female,"Ad 1 - Hook 4","RLB | MAIN | US | Philippians 4:13",2025-08-08,not_delivering,ad,"RLT | Age | Set 2 | Listicle LP Test | Aug 6 – Copy",2.07,,,345,6,0.5,0.33333333,13,16.66666667,1,2.07,,,,,,,,,,,,1,2025-08-08,2025-08-08
"RLT | Age | Set 2 | PDP Test | Aug 6",55-64,female,"Ad 2 - Hook 1","RLB | MAIN | US | Philippians 4:13",2025-08-08,not_delivering,ad,"RLT | Age | Set 2 | PDP Test | Aug 6",0.05,,,50,1,0,,2,,,,,,,,,,,,,,,1,2025-08-08,2025-08-08
"RLT | Age | Set 2 | PDP Test | Aug 6",65+,female,"Ad 2 - Hook 1","RLB | MAIN | US | Philippians 4:13",2025-08-08,not_delivering,ad,"RLT | Age | Set 2 | PDP Test | Aug 6",0.24,,,240,1,1,1,43,,,,,,,,,,,,,,,1,2025-08-08,2025-08-08
"RLT | Age | Set 2 | PDP Test | Aug 6",65+,female,"Ad 3 - Hook 4","RLB | MAIN | US | Philippians 4:13",2025-08-08,not_delivering,ad,"RLT | Age | Set 2 | PDP Test | Aug 6",0.71,,,355,2,0.5,1,28,,,,,,,,,,,,,,,1,2025-08-08,2025-08-08
"RLT | Age | Set 2 | Listicle LP Test | Aug 6 – Copy",65+,female,"Ad 1 - Hook 4","RLB | MAIN | US | Philippians 4:13",2025-08-08,not_delivering,ad,"RLT | Age | Set 2 | Listicle LP Test | Aug 6 – Copy",0.07,,,35,2,0.5,0,2,,,,,,,,,,,,,,,1,2025-08-08,2025-08-08
"RLT | Age | Set 2 | Listicle LP Test | Aug 6 – Copy",45-54,female,"Ad 1 - Hook 4","RLB | MAIN | US | Philippians 4:13",2025-08-08,not_delivering,ad,"RLT | Age | Set 2 | Listicle LP Test | Aug 6 – Copy",0.08,,,40,2,0.5,0,2,,,,,,,,,,,,,,,1,2025-08-08,2025-08-08
"RLT | Age | Set 1 | Listicle LP Test | Jul 30",25-34,male,ageugc2-long,"RLB | MAIN | US | Philippians 4:13",2025-08-07,not_delivering,ad,"RLT | Age | Set 1 | Listicle LP Test | Jul 30",0.02,,,20,1,0,,1,,,,,,,,,,,,,,,1,2025-08-07,2025-08-07
"RLT | Misc | Main Set | PDP/LISTICLE | Jul 25",65+,female,"re1 – listicle","RLB | MAIN | US | Philippians 4:13",2025-08-07,inactive,ad,"RLT | Misc | Main Set | PDP/LISTICLE | Jul 25",0.65,,,72.22222222,9,0.66666667,0.16666667,8,11.11111111,1,0.65,,,,,,,,,,,,1,2025-08-07,2025-08-07
"RLT | Misc | Main Set | PDP/LISTICLE | Jul 25",25-34,female,"re1 – listicle","RLB | MAIN | US | Philippians 4:13",2025-08-07,inactive,ad,"RLT | Misc | Main Set | PDP/LISTICLE | Jul 25",0.1,,,100,1,0,,2,,,,,,,,,,,,,,,1,2025-08-07,2025-08-07
"RLT | Misc | Main Set | PDP/LISTICLE | Jul 25",65+,male,"re1 – listicle","RLB | MAIN | US | Philippians 4:13",2025-08-07,inactive,ad,"RLT | Misc | Main Set | PDP/LISTICLE | Jul 25",0.05,,,50,1,0,,,,,,,,,,,,,,,,,1,2025-08-07,2025-08-07
"RLT | Misc | Main Set | PDP/LISTICLE | Jul 25",55-64,female,"re1 – listicle","RLB | MAIN | US | Philippians 4:13",2025-08-07,inactive,ad,"RLT | Misc | Main Set | PDP/LISTICLE | Jul 25",1.83,,,203.33333333,9,0.33333333,0.33333333,9,,,,,,,,,,,,,,,1,2025-08-07,2025-08-07
"RLT | Misc | Main Set | PDP/LISTICLE | Jul 25",45-54,female,"re1 – listicle","RLB | MAIN | US | Philippians 4:13",2025-08-07,inactive,ad,"RLT | Misc | Main Set | PDP/LISTICLE | Jul 25",0.51,,,102,5,0.4,0.5,17,20,1,0.51,,,,,,,,,,,,1,2025-08-07,2025-08-07
"RLT | Age | Set 1 | Listicle LP Test | Jul 30",65+,female,ageminivsl4,"RLB | MAIN | US | Philippians 4:13",2025-08-07,not_delivering,ad,"RLT | Age | Set 1 | Listicle LP Test | Jul 30",1.23,,,102.5,12,0.66666667,0.5,76,16.66666667,2,0.615,,,,,,,,,,,,1,2025-08-07,2025-08-07
"RLT | Age | Set 1 | Listicle LP Test | Jul 30",45-54,female,ageminivsl4,"RLB | MAIN | US | Philippians 4:13",2025-08-07,not_delivering,ad,"RLT | Age | Set 1 | Listicle LP Test | Jul 30",0.64,,,160,3,0,,1,,,,,,,,,,,,,,,1.33333333,2025-08-07,2025-08-07
"RLT | Age | Set 1 | Listicle LP Test | Jul 30",55-64,female,ageugc2-long,"RLB | MAIN | US | Philippians 4:13",2025-08-07,not_delivering,ad,"RLT | Age | Set 1 | Listicle LP Test | Jul 30",0.7,,,700,1,1,0,4,,,,,,,,,,,,,,,1,2025-08-07,2025-08-07
"RLT | Age | Set 1 | Listicle LP Test | Jul 30",35-44,female,ageugc2-long,"RLB | MAIN | US | Philippians 4:13",2025-08-07,not_delivering,ad,"RLT | Age | Set 1 | Listicle LP Test | Jul 30",0.01,,,10,1,0,,2,,,,,,,,,,,,,,,1,2025-08-07,2025-08-07
"RLT | Age | Set 2 | PDP Test | Aug 6",55-64,female,"Ad 4 - Hook 4","RLB | MAIN | US | Philippians 4:13",2025-08-07,not_delivering,ad,"RLT | Age | Set 2 | PDP Test | Aug 6",0.12,,,120,1,1,0,5,,,,,,,,,,,,,,,1,2025-08-07,2025-08-07
"RLT | Age | Set 1 | Listicle LP Test | Jul 30",55-64,female,ageugc4-long,"RLB | MAIN | US | Philippians 4:13",2025-08-07,not_delivering,ad,"RLT | Age | Set 1 | Listicle LP Test | Jul 30",1.62,,,810,2,0.5,0,6,,,,,,,,,,,,,,,1,2025-08-07,2025-08-07
"RLT | Age | Set 1 | Listicle LP Test | Jul 30",65+,female,ageugc4-long,"RLB | MAIN | US | Philippians 4:13",2025-08-07,not_delivering,ad,"RLT | Age | Set 1 | Listicle LP Test | Jul 30",0.95,,,158.33333333,4,0.83333333,0,6,,,,,,,,,,,,,,,1.5,2025-08-07,2025-08-07
"RLT | Age | Set 1 | Listicle LP Test | Jul 30",35-44,unknown,ageugc4-long,"RLB | MAIN | US | Philippians 4:13",2025-08-07,not_delivering,ad,"RLT | Age | Set 1 | Listicle LP Test | Jul 30",0.01,,,10,1,0,,1,,,,,,,,,,,,,,,1,2025-08-07,2025-08-07
"RLT | Age | Set 1 | Listicle LP Test | Jul 30",35-44,female,ageugc4-long,"RLB | MAIN | US | Philippians 4:13",2025-08-07,not_delivering,ad,"RLT | Age | Set 1 | Listicle LP Test | Jul 30",0.14,,,46.66666667,2,0.66666667,0.5,12,,,,,,,,,,,,,,,1.5,2025-08-07,2025-08-07
"RLT | Age | Set 1 | Listicle LP Test | Jul 30",45-54,female,ageugc4-long,"RLB | MAIN | US | Philippians 4:13",2025-08-07,not_delivering,ad,"RLT | Age | Set 1 | Listicle LP Test | Jul 30",0.21,,,210,1,1,0,3,,,,,,,,,,,,,,,1,2025-08-07,2025-08-07
"RLT | Age | Set 1 | Listicle LP Test | Jul 30",25-34,male,ageugc4-long,"RLB | MAIN | US | Philippians 4:13",2025-08-07,not_delivering,ad,"RLT | Age | Set 1 | Listicle LP Test | Jul 30",0.02,,,20,1,0,,1,,,,,,,,,,,,,,,1,2025-08-07,2025-08-07
"RLT | Age | Set 2 | PDP Test | Aug 6",55-64,female,"Ad 5 - Hook 4","RLB | MAIN | US | Philippians 4:13",2025-08-07,not_delivering,ad,"RLT | Age | Set 2 | PDP Test | Aug 6",0.08,,,80,1,0,,1,,,,,,,,,,,,,,,1,2025-08-07,2025-08-07
"RLT | Age | Set 2 | PDP Test | Aug 6",65+,female,"Ad 5 - Hook 3","RLB | MAIN | US | Philippians 4:13",2025-08-07,not_delivering,ad,"RLT | Age | Set 2 | PDP Test | Aug 6",0.08,,,80,1,1,0,4,,,,,,,,,,,,,,,1,2025-08-07,2025-08-07
"RLT | Age | Set 2 | Listicle LP Test | Aug 6 – Copy",55-64,female,"Ad 3 - Hook 4","RLB | MAIN | US | Philippians 4:13",2025-08-07,not_delivering,ad,"RLT | Age | Set 2 | Listicle LP Test | Aug 6 – Copy",0.42,,,140,3,0.66666667,0,3,,,,,,,,,,,,,,,1,2025-08-07,2025-08-07
"RLT | Age | Set 2 | Listicle LP Test | Aug 6 – Copy",65+,female,"Ad 3 - Hook 4","RLB | MAIN | US | Philippians 4:13",2025-08-07,not_delivering,ad,"RLT | Age | Set 2 | Listicle LP Test | Aug 6 – Copy",0.1,,,100,1,1,1,305,200,2,0.05,,,,,,,,,,,,1,2025-08-07,2025-08-07
"RLT | Age | Set 1 | Listicle LP Test | Jul 30",35-44,female,ageminivsl4,"RLB | MAIN | US | Philippians 4:13",2025-08-07,not_delivering,ad,"RLT | Age | Set 1 | Listicle LP Test | Jul 30",0.01,,,10,1,1,0,7,,,,,,,,,,,,,,,1,2025-08-07,2025-08-07
"RLT | Age | Set 1 | Listicle LP Test | Jul 30",55-64,female,ageminivsl4,"RLB | MAIN | US | Philippians 4:13",2025-08-07,not_delivering,ad,"RLT | Age | Set 1 | Listicle LP Test | Jul 30",0.55,,,61.11111111,8,0.44444444,0,5,,,,,,,,,,,,,,,1.125,2025-08-07,2025-08-07
"RLT | Misc | Main Set | PDP/LISTICLE | Jul 25",35-44,female,re1,"RLB | MAIN | US | Philippians 4:13",2025-08-07,active,ad,"RLT | Misc | Main Set | PDP/LISTICLE | Jul 25",3.73,,,79.36170213,41,0.5106383,0.25,8,8.5106383,4,0.9325,2,2,1.865,,,,,,,,,1.14634146,2025-08-07,2025-08-07
"RLT | Age | Set 1 | Listicle LP Test | Jul 30",55-64,unknown,ageminivsl4,"RLB | MAIN | US | Philippians 4:13",2025-08-07,not_delivering,ad,"RLT | Age | Set 1 | Listicle LP Test | Jul 30",0.03,,,30,1,0,,,,,,,,,,,,,,,,,1,2025-08-07,2025-08-07
"RLT | Misc | Main Set | PDP/LISTICLE | Jul 25",65+,female,re1,"RLB | MAIN | US | Philippians 4:13",2025-08-07,active,ad,"RLT | Misc | Main Set | PDP/LISTICLE | Jul 25",16.14,,,163.03030303,87,0.54545455,0.44444444,13,10.1010101,10,1.614,5,5,3.228,1,1,16.14,,,,,,1.13793103,2025-08-07,2025-08-07
"RLT | Age | Set 2 | Listicle LP Test | Aug 6 – Copy",55-64,female,"Ad 2 - Hook 3","RLB | MAIN | US | Philippians 4:13",2025-08-07,not_delivering,ad,"RLT | Age | Set 2 | Listicle LP Test | Aug 6 – Copy",0.24,,,120,2,0.5,0,8,,,,,,,,,,,,,,,1,2025-08-07,2025-08-07
"RLT | Misc | Main Set | PDP/LISTICLE | Jul 25",65+,female,list2,"RLB | MAIN | US | Philippians 4:13",2025-08-07,active,ad,"RLT | Misc | Main Set | PDP/LISTICLE | Jul 25",0.25,,,83.33333333,3,0.66666667,1,11,,,,,,,,,,,,,,,1,2025-08-07,2025-08-07
"RLT | Misc | Main Set | PDP/LISTICLE | Jul 25",35-44,female,list2,"RLB | MAIN | US | Philippians 4:13",2025-08-07,active,ad,"RLT | Misc | Main Set | PDP/LISTICLE | Jul 25",0.1,,,100,1,0,,1,,,,,,,,,,,,,,,1,2025-08-07,2025-08-07
"RLT | Misc | Main Set | PDP/LISTICLE | Jul 25",55-64,male,list2,"RLB | MAIN | US | Philippians 4:13",2025-08-07,active,ad,"RLT | Misc | Main Set | PDP/LISTICLE | Jul 25",0.01,,,10,1,1,1,20,100,1,0.01,,,,,,,,,,,,1,2025-08-07,2025-08-07
"RLT | Misc | Main Set | PDP/LISTICLE | Jul 25",55-64,female,list2,"RLB | MAIN | US | Philippians 4:13",2025-08-07,active,ad,"RLT | Misc | Main Set | PDP/LISTICLE | Jul 25",0.21,,,70,3,0.33333333,0,6,,,,,,,,,,,,,,,1,2025-08-07,2025-08-07
"RLT | Misc | Main Set | PDP/LISTICLE | Jul 25",35-44,unknown,re1,"RLB | MAIN | US | Philippians 4:13",2025-08-07,active,ad,"RLT | Misc | Main Set | PDP/LISTICLE | Jul 25",0.03,,,30,1,1,0,4,,,,,,,,,,,,,,,1,2025-08-07,2025-08-07
"RLT | Misc | Main Set | PDP/LISTICLE | Jul 25",55-64,male,re1,"RLB | MAIN | US | Philippians 4:13",2025-08-07,active,ad,"RLT | Misc | Main Set | PDP/LISTICLE | Jul 25",0.69,,,98.57142857,5,0.28571429,0.5,4,,,,,,,,,,,,,,,1.4,2025-08-07,2025-08-07
"RLT | Misc | Main Set | PDP/LISTICLE | Jul 25",45-54,female,re1,"RLB | MAIN | US | Philippians 4:13",2025-08-07,active,ad,"RLT | Misc | Main Set | PDP/LISTICLE | Jul 25",9.43,,,98.22916667,84,0.45833333,0.45454545,14,4.16666667,4,2.3575,5,5,1.886,3,3,3.14333333,,,,,,1.14285714,2025-08-07,2025-08-07
"RLT | Misc | Main Set | PDP/LISTICLE | Jul 25",25-34,male,re1,"RLB | MAIN | US | Philippians 4:13",2025-08-07,active,ad,"RLT | Misc | Main Set | PDP/LISTICLE | Jul 25",0.38,,,190,2,1,1,32,,,,,,,,,,,,,,,1,2025-08-07,2025-08-07
"RLT | Misc | Main Set | PDP/LISTICLE | Jul 25",55-64,female,re1,"RLB | MAIN | US | Philippians 4:13",2025-08-07,active,ad,"RLT | Misc | Main Set | PDP/LISTICLE | Jul 25",19.89,"Website purchases",4.9725,167.14285714,90,0.50420168,0.36666667,14,14.28571429,17,1.17,21,21,0.94714286,4,4,4.9725,4,4,4.9725,24.48667672,24.48667672,1.32222222,2025-08-07,2025-08-07
"RLT | Misc | Main Set | PDP/LISTICLE | Jul 25",25-34,female,re1,"RLB | MAIN | US | Philippians 4:13",2025-08-07,active,ad,"RLT | Misc | Main Set | PDP/LISTICLE | Jul 25",0.31,,,77.5,4,0.75,0.66666667,17,,,,,,,,,,,,,,,1,2025-08-07,2025-08-07
"RLT | Age | Set 1 | Listicle LP Test | Jul 30",55-64,female,ageugc1-short,"RLB | MAIN | US | Philippians 4:13",2025-08-07,not_delivering,ad,"RLT | Age | Set 1 | Listicle LP Test | Jul 30",0.3,,,100,3,0.33333333,0,3,,,,,,,,,,,,,,,1,2025-08-07,2025-08-07
"RLT | Misc | Main Set | PDP/LISTICLE | Jul 25",65+,male,re1,"RLB | MAIN | US | Philippians 4:13",2025-08-07,active,ad,"RLT | Misc | Main Set | PDP/LISTICLE | Jul 25",1.75,,,145.83333333,11,0.75,0,5,,,,,,,,,,,,,,,1.09090909,2025-08-07,2025-08-07
"RLT | Misc | Main Set | PDP/LISTICLE | Jul 25",35-44,male,re1,"RLB | MAIN | US | Philippians 4:13",2025-08-07,active,ad,"RLT | Misc | Main Set | PDP/LISTICLE | Jul 25",0.13,,,130,1,0,,2,,,,,,,,,,,,,,,1,2025-08-07,2025-08-07
"RLT | Misc | Main Set | PDP/LISTICLE | Jul 25",45-54,male,re1,"RLB | MAIN | US | Philippians 4:13",2025-08-07,active,ad,"RLT | Misc | Main Set | PDP/LISTICLE | Jul 25",0.14,,,70,2,0.5,0,4,,,,,,,,,,,,,,,1,2025-08-07,2025-08-07
"RLT | Misc | Main Set | PDP/LISTICLE | Jul 25",45-54,female,re2,"RLB | MAIN | US | Philippians 4:13",2025-08-07,active,ad,"RLT | Misc | Main Set | PDP/LISTICLE | Jul 25",0.02,,,20,1,0,,2,,,,,,,,,,,,,,,1,2025-08-07,2025-08-07
"RLT | Misc | Main Set | PDP/LISTICLE | Jul 25",55-64,male,re2,"RLB | MAIN | US | Philippians 4:13",2025-08-07,active,ad,"RLT | Misc | Main Set | PDP/LISTICLE | Jul 25",0.02,,,20,1,1,0,3,,,,,,,,,,,,,,,1,2025-08-07,2025-08-07
"RLT | Misc | Main Set | PDP/LISTICLE | Jul 25",55-64,female,re2,"RLB | MAIN | US | Philippians 4:13",2025-08-07,active,ad,"RLT | Misc | Main Set | PDP/LISTICLE | Jul 25",0.01,,,10,1,0,,1,,,,,,,,,,,,,,,1,2025-08-07,2025-08-07
"RLT | Misc | Main Set | PDP/LISTICLE | Jul 25",65+,female,re2,"RLB | MAIN | US | Philippians 4:13",2025-08-07,active,ad,"RLT | Misc | Main Set | PDP/LISTICLE | Jul 25",0.02,,,20,1,1,1,35,,,,,,,,,,,,,,,1,2025-08-07,2025-08-07
"RLT | Age | Set 1 | Listicle LP Test | Jul 30",45-54,female,ageminivsl3,"RLB | MAIN | US | Philippians 4:13",2025-08-07,not_delivering,ad,"RLT | Age | Set 1 | Listicle LP Test | Jul 30",0.07,,,70,1,1,0,3,,,,,,,,,,,,,,,1,2025-08-07,2025-08-07
"RLT | Age | Set 1 | Listicle LP Test | Jul 30",45-54,female,ageugc1-short,"RLB | MAIN | US | Philippians 4:13",2025-08-07,not_delivering,ad,"RLT | Age | Set 1 | Listicle LP Test | Jul 30",0.02,,,20,1,1,0,4,,,,,,,,,,,,,,,1,2025-08-07,2025-08-07
"RLT | Age | Set 1 | Listicle LP Test | Jul 30",35-44,female,ageugc1-short,"RLB | MAIN | US | Philippians 4:13",2025-08-07,not_delivering,ad,"RLT | Age | Set 1 | Listicle LP Test | Jul 30",0.07,,,70,1,1,1,27,,,,,,,,,,,,,,,1,2025-08-07,2025-08-07
"RLT | Age | Set 2 | Listicle LP Test | Aug 6 – Copy",45-54,female,"Ad 2 - Hook 3","RLB | MAIN | US | Philippians 4:13",2025-08-07,not_delivering,ad,"RLT | Age | Set 2 | Listicle LP Test | Aug 6 – Copy",0.05,,,50,1,0,,,,,,,,,,,,,,,,,1,2025-08-07,2025-08-07
"RLT | Age | Set 1 | Listicle LP Test | Jul 30",65+,female,ageugc2-long,"RLB | MAIN | US | Philippians 4:13",2025-08-07,not_delivering,ad,"RLT | Age | Set 1 | Listicle LP Test | Jul 30",0.87,,,435,2,1,1,70,,,,,,,,,,,,,,,1,2025-08-07,2025-08-07
"RLT | Age | Set 2 | Listicle LP Test | Aug 6 – Copy",65+,female,"Ad 2 - Hook 1","RLB | MAIN | US | Philippians 4:13",2025-08-07,not_delivering,ad,"RLT | Age | Set 2 | Listicle LP Test | Aug 6 – Copy",0.1,,,50,2,0.5,0,5,,,,,,,,,,,,,,,1,2025-08-07,2025-08-07
"RLT | Age | Set 2 | PDP Test | Aug 6",35-44,female,"Ad 4 - Hook 3","RLB | MAIN | US | Philippians 4:13",2025-08-07,not_delivering,ad,"RLT | Age | Set 2 | PDP Test | Aug 6",0.19,,,190,1,1,1,16,,,,,,,,,,,,,,,1,2025-08-07,2025-08-07
"RLT | Age | Set 2 | Listicle LP Test | Aug 6 – Copy",35-44,female,"Ad 1 - Hook 2","RLB | MAIN | US | Philippians 4:13",2025-08-07,not_delivering,ad,"RLT | Age | Set 2 | Listicle LP Test | Aug 6 – Copy",0,,,0,1,0,,,,,,,,,,,,,,,,,1,2025-08-07,2025-08-07
"RLT | Age | Set 2 | Listicle LP Test | Aug 6 – Copy",55-64,female,"Ad 1 - Hook 2","RLB | MAIN | US | Philippians 4:13",2025-08-07,not_delivering,ad,"RLT | Age | Set 2 | Listicle LP Test | Aug 6 – Copy",0.27,,,135,2,1,0,7,,,,,,,,,,,,,,,1,2025-08-07,2025-08-07
"RLT | Age | Set 2 | Listicle LP Test | Aug 6 – Copy",65+,female,"Ad 1 - Hook 2","RLB | MAIN | US | Philippians 4:13",2025-08-07,not_delivering,ad,"RLT | Age | Set 2 | Listicle LP Test | Aug 6 – Copy",0.37,,,123.33333333,3,0.66666667,0,5,,,,,,,,,,,,,,,1,2025-08-07,2025-08-07
"RLT | Age | Set 2 | Listicle LP Test | Aug 6 – Copy",25-34,male,"Ad 1 - Hook 2","RLB | MAIN | US | Philippians 4:13",2025-08-07,not_delivering,ad,"RLT | Age | Set 2 | Listicle LP Test | Aug 6 – Copy",0.02,,,20,1,1,1,28,,,,,,,,,,,,,,,1,2025-08-07,2025-08-07
"RLT | Age | Set 2 | Listicle LP Test | Aug 6 – Copy",45-54,female,"Ad 5 - Hook 4","RLB | MAIN | US | Philippians 4:13",2025-08-07,not_delivering,ad,"RLT | Age | Set 2 | Listicle LP Test | Aug 6 – Copy",0.2,,,200,1,0,,1,,,,,,,,,,,,,,,1,2025-08-07,2025-08-07
"RLT | Age | Set 2 | Listicle LP Test | Aug 6 – Copy",55-64,female,"Ad 5 - Hook 4","RLB | MAIN | US | Philippians 4:13",2025-08-07,not_delivering,ad,"RLT | Age | Set 2 | Listicle LP Test | Aug 6 – Copy",0.22,,,220,1,0,,2,,,,,,,,,,,,,,,1,2025-08-07,2025-08-07
"RLT | Age | Set 2 | Listicle LP Test | Aug 6 – Copy",65+,female,"Ad 5 - Hook 4","RLB | MAIN | US | Philippians 4:13",2025-08-07,not_delivering,ad,"RLT | Age | Set 2 | Listicle LP Test | Aug 6 – Copy",0.08,,,80,1,1,0,8,,,,,,,,,,,,,,,1,2025-08-07,2025-08-07
